Latitude,Longitude,Site,Location,Country,Period,Lab Number,C14Age,C14SD,Material,Curve
48.6,15.0833,Guttenbrunn,Europe,Austria,LBK,Bln-2227,5935,50,Bone,intcal13
48.88,2.71,Pente de Croupeton,Europe,France,Neolithic,Gif-8358,5910,80,bone,intcal13
49.4,2.96,Les Obaux,Europe,France,Villeneuve,Ly-3460,5890,120,bone,intcal13
49.38,3.4,La Fosse Toumise,Europe,France,Late LBK,Ly-6478,5870,105,bone,intcal13
41.4,9.16,Monte Leone,Europe,France,Early Neolithic,Ly-6099,5855,95,bone,intcal13
51,6.55,Kaster,Europe,Germany,LBK,KN-2130,5840,55,Bone,intcal13
44.18,5.5,le Moulin,Europe,France,Epicardial,Ly-3804,5840,130,bone,intcal13
44.25,4.61,La Vesignie,Europe,France,Cardial,Ly-4745,5815,75,bone,intcal13
48.4,3.16,Les Reaudins,Europe,France,Villeneuve,Ly-5543,5800,50,bone,intcal13
48.63,4.71,Larzicourt,Europe,France,Early Neolithic,Ly-3907,5800,100,bone,intcal13
48.03,7.33,Rufacher Huben,Europe,France,LBK,Ly-2733,5740,130,bone,intcal13
48.36,2.88,piece de Pincevent,Europe,France,Villeneuve St Germ.,Gif-5005,5630,120,bone,intcal13
48.86,2.33,Grand Louvre,Europe,France,Early Neolithic,Gif-7618,5620,70,bone,intcal13
47.38,4.51,Etang David,Europe,France,Late LBK,Gif-3354,5600,120,bone,intcal13
48.55,3.5833,Barbuise-Courtavant,Europe,France,Neolithic,Ly-2455,5530,150,Bone,intcal13
48.91,2.76,Les longues Raies,Europe,France,Villeneuve St Germ.,Gif-5002,5510,140,bone,intcal13
47.5167,6.8,Montbelliard,Europe,France,LBK,Gif-5165,5320,120,Bone,intcal13
54.25,10.0667,Flintbek,Europe,Germany,TRB_North,Ki-3072,5280,120,Bone,intcal13
49.08,2,Sente Saillancourt,Europe,France,LBK,Gif-5840,5220,110,bone,intcal13
50.3333,20.35,Bronocice,Europe,Poland,TRB_East,DIC-719,5060,110,Bone,intcal13
50.88,-0.7,Long Down,Europe,Great Britain,Neolithic,OxA-1152,5050,100,bone,intcal13
50.7,-2.48,Maiden Castle,Europe,Great Britain,Neolithic,OxA-1337,5030,80,bone,intcal13
51.97,-3.23,Pen-y-Wyrlod,Europe,Great Britain,Neolithic,HAR-674,4970,80,bone,intcal13
50.98,-1.15,"Corhampton House, Corh",Europe,Great Britain,Neolithic,BM-1889,4790,70,bone,intcal13
55.7,9.58,Bygholm N?rremark,Europe,Denmark,TRB_North,K-3473,4740,90,Bone,intcal13
51.4833,17.8833,Niedzwiedz,Europe,Poland,TRB_East,Bln-927,4715,100,Bone,intcal13
54.04,-0.77,Hanging Grimstone,Europe,Great Britain,Neolithic,HAR-2160,4710,90,bone,intcal13
52.88,-8.15,Ardcrony,Europe,Ireland,Ballyalton,GrN-9708,4675,35,bone,intcal13
52.7667,18.25,Matwy,Europe,Poland,TRB_East,Bln-1314,4580,50,Bone,intcal13
40.88,21.48,Porodin,Europe,Yugoslavia,Neolithic,KN-I.596,7240,55,carbonised cereal,intcal13
40.08,18.48,Grotta di Porto Badisc,Europe,Italy,Neolithic,R-1225,5850,55,carbonised grain,intcal13
41.75,22.15,Vrsnik-Tarinci,Europe,Republic of Macedon,Early Neolithic,Bln-339,6950,100,cereal,intcal13
41.5,15.75,Coppa Nevigata,Europe,Italy,Cardial,OxA-1475,6880,90,cereal,intcal13
47.36,8.68,Greifensee-Storen/Wild,Europe,Switzerland,Pfyn,UCLA-1824,5180,70,cereal,intcal13
47.58,8.93,Phyn,Europe,Switzerland,Pfyn,GrN-5957,5020,40,cereal,intcal13
52.15,10.6,Klein Denkte,Europe,Germany,LBK,UtC-1834,7930,60,Cermaic tuff,intcal13
